Species	Intro_status	Impact_status	countries_intro	countries_natur
Acacia acuminata	NE	NE	South Africa	Australia
Acacia adunca	C3	NE	South Africa,France,United Kingdom	South Africa
Acacia aneura	NE	NE	United States,South Africa,Egypt,Cyprus,France	United States
Acacia baileyana	E	Some	Portugal,Zimbabwe,New Zealand,United States,Spain,Swaziland,Argentina,Ecuador,Greece,Japan,United Kingdom,France,Colombia,Lesotho,Mexico,Bolivia,Italy,South Africa,Egypt,Saint Helena	France,Spain,Australia,Lesotho,Mexico,New Zealand,Portugal,Swaziland,United States,South Africa
Acacia calcicola	NE	NE	South Africa	
Acacia crassiuscula	NE	NE	Germany,South Africa	
Acacia cultriformis	C3	NE	Portugal,Colombia,Argentina,France,New Zealand,United States,Germany,Italy,Bolivia,South Africa,Egypt	Australia,Bolivia,United States,South Africa
Acacia cyclops	E	Severe	Bolivia,China,Egypt,Israel,Italy,Jordan,Mexico,Morocco,Namibia,New Zealand,Portugal,Saint Helena,Spain,Tunisia,United States,South Africa,Yemen,France	Portugal,Australia,Spain,Israel,Morocco,Namibia,Saint Helena,United States,Yemen,South Africa,Italy
Acacia dealbata	E	Severe	Portugal,Bhutan,Zimbabwe,Uruguay,India,Tunisia,Japan,Hong Kong,Angola,Mozambique,Reunion,Norfolk Island,Taiwan,Venezuela,Brazil,Greece,Albania,Croatia,Denmark,Ireland,Morocco,Algeria,Belgium,Mexico,United Kingdom,Turkey,Ukraine,Spain,France,United States,New Zealand,Georgia,Russia,Indonesia,Germany,Azerbaijan,Bosnia and Herzegovina,Slovenia,Romania,Montenegro,Serbia,Argentina,Ecuador,Guatemala,Israel,China,Italy,Swaziland,Lesotho,Madagascar,Chile,Switzerland,Bolivia,Colombia,South Africa,Egypt,Saint Helena,United Republic of Tanzania,Cyprus	Portugal,China,France,Reunion,Zimbabwe,Angola,Australia,Bolivia,Chile,Colombia,Spain,Hong Kong,India,Italy,Japan,Lesotho,Madagascar,Mozambique,Norfolk Island,New Zealand,Swaziland,Tunisia,Taiwan,Uruguay,United States,Venezuela,South Africa
Acacia decurrens	E	Severe	Algeria,Angola,Bhutan,Brazil,Colombia,Ecuador,Ethiopia,Indonesia,Italy,Madagascar,New Caledonia,New Zealand,Philippines,Portugal,Saint Helena,Spain,Sri Lanka,Swaziland,South Africa,United States,Venezuela,Zimbabwe,France	Zimbabwe,Angola,Australia,Colombia,Ecuador,Spain,Madagascar,New Zealand,Philippines,Swaziland,United States,South Africa
Acacia elata	E	Severe	Indonesia,Zimbabwe,New Zealand,Colombia,United States,Portugal,Swaziland,Italy,Saint Helena,Cyprus,South Africa	Zimbabwe,Australia,New Zealand,Portugal,Swaziland,United States,South Africa
Acacia fimbriata	D2	NE	Cote d'Ivoire,United States,New Zealand,Egypt,France,South Africa	Australia,Cote d'Ivoire,South Africa
Acacia floribunda	NE	NE	United States,Bolivia,Colombia,New Zealand,Venezuela,Indonesia,Costa Rica,Ecuador,Italy,France,Portugal,Spain,South Africa	Australia,Bolivia,New Zealand
Acacia hakeoides	NE	NE	South Africa	
Acacia implexa	E	NE	Italy,Saint Helena,South Africa	South Africa
Acacia koa	NE	NE		
Acacia longifolia	E	Severe	Spain,Portugal,Zimbabwe,Bolivia,Turkey,Lesotho,Saint Helena,New Zealand,Paraguay,Colombia,France,Germany,United States,Greece,Morocco,Italy,Swaziland,Argentina,Brazil,India,China,Japan,Lebanon,Uruguay,Ecuador,Mexico,Egypt,Seychelles,Cyprus,South Africa	Portugal,Argentina,Australia,Bolivia,Brazil,Spain,France,Italy,Lesotho,New Zealand,Saint Helena,Swaziland,Turkey,Uruguay,United States,South Africa
Acacia mearnsii	E	Severe	Algeria,Argentina,Bhutan,Bolivia,Brazil,Burundi,Cape Verde,China,Colombia,Democratic Republic of the Congo,Ecuador,Egypt,Ethiopia,France,India,Indonesia,Italy,Kenya,Lesotho,Madagascar,Malawi,Mexico,Morocco,Mozambique,New Zealand,Papua New Guinea,Philippines,Portugal,Reunion,Rwanda,Saint Helena,Spain,Swaziland,Taiwan,Timor-Leste,Turkey,Uganda,United Republic of Tanzania,United States,Uruguay,Zimbabwe,Cyprus,South Africa	China,Portugal,Reunion,Zimbabwe,Australia,Burundi,Bolivia,Brazil,Democratic Republic of the Congo,Cape Verde,Ecuador,Spain,Ethiopia,India,Italy,Kenya,Madagascar,Mozambique,New Zealand,Philippines,Rwanda,Saint Helena,Swaziland,Turkey,Taiwan,United Republic of Tanzania,Uganda,Uruguay,United States,South Africa
Acacia melanoxylon	E	Severe	Ethiopia,Rwanda,Kenya,United Republic of Tanzania,Morocco,Indonesia,United Kingdom,Portugal,Algeria,Spain,New Zealand,Burundi,Mexico,India,Democratic Republic of the Congo,Zimbabwe,Madagascar,Saint Helena,Peru,Angola,France,Germany,United States,Uruguay,Italy,Swaziland,Argentina,Bolivia,Chile,Ecuador,Colombia,Georgia,Egypt,Cyprus,South Africa	Portugal,United Kingdom,Zimbabwe,Angola,Australia,Burundi,Bolivia,Chile,Democratic Republic of the Congo,Colombia,Algeria,Ecuador,Spain,Ethiopia,France,India,Kenya,Morocco,Madagascar,Mexico,New Zealand,Peru,Rwanda,Saint Helena,Swaziland,United Republic of Tanzania,United States,South Africa,Italy
Acacia murrayana	NE	NE	South Africa	Australia
Acacia neriifolia	NE	NE	Argentina,United States,Ecuador,Mexico,Portugal,Egypt,South Africa	Mexico,Portugal
Acacia paradoxa	D2	Some	Chile,New Zealand,Germany,United States,Italy,Mexico,France,Egypt,Cyprus,Portugal,South Africa	Australia,New Zealand,United States,South Africa
Acacia pendula	NE	NE	United States,Madagascar,Italy,Saint Helena,Portugal,Spain,South Africa	
Acacia piligera	NE	NE	South Africa	
Acacia podalyriifolia	E	Some	Kenya,Rwanda,Burundi,United Republic of Tanzania,Indonesia,Zimbabwe,New Zealand,Lesotho,Democratic Republic of the Congo,Mozambique,Uganda,China,Uruguay,United States,Swaziland,Brazil,Madagascar,New Caledonia,Italy,Egypt,Portugal,France,United Kingdom,South Africa	Zimbabwe,Australia,Burundi,Brazil,Democratic Republic of the Congo,Kenya,Lesotho,Mozambique,New Zealand,Rwanda,Swaziland,United Republic of Tanzania,Uganda,United States,South Africa
Acacia provincialis	C3	NE	Portugal,Italy,South Africa	Italy,Portugal,South Africa
Acacia pycnantha	E	Some	Spain,Portugal,Ethiopia,Guam,Mexico,France,New Zealand,Germany,Italy,United States,Ecuador,Egypt,Cape Verde,Cyprus,South Africa	Portugal,Australia,Ethiopia,Guam,United States,South Africa,Italy
Acacia ramulosa	NE	NE	Portugal,South Africa	
Acacia salicina	NE	NE	Iran (Islamic Republic of),Israel,Mexico,Bahamas,Cyprus,Greece,Palestine,Jordan,Turkey,Syrian Arab Republic,Spain,Zimbabwe,United States,Italy,Portugal,Egypt,Cape Verde,South Africa	Bahamas,Israel,Mexico,Spain
Acacia saligna	E	Severe	Ethiopia,Kenya,Albania,Spain,Portugal,United Kingdom,Cyprus,Turkey,Morocco,Algeria,Greece,Angola,Libyan Arab Jamahiriya,Yemen,Ecuador,Palestine,Peru,Jordan,Lebanon,Western Sahara,Syrian Arab Republic,France,New Zealand,Cape Verde,Tunisia,Israel,Italy,Namibia,New Caledonia,Madagascar,Chile,United States,Bolivia,Mexico,Egypt,Saint Helena,South Africa	Albania,Portugal,Angola,Australia,Bolivia,Cyprus,Algeria,Spain,Ethiopia,France,Greece,Israel,Italy,Kenya,Libyan Arab Jamahiriya,Morocco,Namibia,Tunisia,Turkey,United States,Yemen,South Africa
Acacia stricta	E	NE	New Zealand,Germany,Italy,Saint Helena,Spain,South Africa	New Zealand,South Africa
Acacia ulicifolia	NE	NE	South Africa	
Acacia viscidula	C3	NE	New Zealand,Brazil,South Africa	South Africa
